Time,Height,2CL,3CL,4CL,5CL,6CL,7CL,8CL,9CL
2004030106,500.0,1,1,1,1,1,1,1,1
2004030206,500.0,1,1,1,1,1,1,1,1
2004030306,500.0,1,1,1,5,5,5,5,5
2004030406,500.0,1,1,4,4,4,4,4,4
2004030506,500.0,1,1,4,4,4,4,4,4
2004030606,500.0,1,1,4,4,4,4,4,4
2004030706,500.0,1,1,4,4,4,4,4,4
2004030806,500.0,1,1,4,4,4,4,4,4
2004030906,500.0,1,1,4,4,4,4,4,4
2004031006,500.0,1,1,1,1,1,1,1,1
2004031106,500.0,1,1,1,1,1,1,1,1
2004031206,500.0,1,1,1,1,1,1,1,1
2004031306,500.0,1,1,4,4,4,4,4,4
2004031406,500.0,1,1,4,4,4,4,4,4
2004031506,500.0,1,1,4,4,4,4,4,4
2004031606,500.0,1,3,3,3,3,3,3,3
2004031706,500.0,1,1,1,1,1,1,1,1
2004031806,500.0,2,2,2,2,2,2,2,2
2004031906,500.0,2,2,2,2,2,2,2,2
2004032006,500.0,2,2,2,2,2,2,8,8
2004032106,500.0,1,1,1,1,1,1,1,1
2004032206,500.0,1,1,4,4,4,4,4,4
2004032306,500.0,1,3,3,3,6,6,6,6
2004032406,500.0,2,2,2,2,2,2,8,8
2004032506,500.0,1,1,4,4,4,4,4,4
2004032606,500.0,1,1,4,4,4,4,4,4
2004032706,500.0,1,1,1,1,1,1,1,1
2004032806,500.0,1,1,1,1,1,1,1,1
2004032906,500.0,1,1,1,1,1,1,1,1
2004033006,500.0,1,1,4,4,4,4,4,4
2004033106,500.0,1,1,1,1,1,1,1,1
2004040106,500.0,1,1,1,1,1,1,1,1
2004040206,500.0,1,1,4,4,4,4,4,4
2004040306,500.0,1,1,4,4,4,7,7,7
2004040406,500.0,1,1,4,4,4,7,7,7
2004040506,500.0,1,1,4,4,4,4,4,4
2004040606,500.0,1,3,3,3,6,6,6,6
2004040706,500.0,1,3,3,3,6,6,6,6
2004040806,500.0,2,2,2,2,2,2,8,9
2004040906,500.0,2,2,2,2,2,2,2,2
2004041006,500.0,1,3,3,3,3,3,3,3
2004041106,500.0,1,3,3,3,3,3,3,3
2004041206,500.0,1,3,3,3,3,3,3,3
2004041306,500.0,1,1,1,1,1,1,1,1
2004041406,500.0,1,1,1,1,1,1,1,1
2004041506,500.0,1,1,4,4,4,4,4,4
2004041606,500.0,1,1,4,4,4,4,4,4
2004041706,500.0,1,1,4,4,4,4,4,4
2004041806,500.0,1,1,4,4,4,4,4,4
2004041906,500.0,1,1,4,4,4,7,7,7
2004042006,500.0,1,1,4,4,4,7,7,7
2004042106,500.0,1,3,3,3,3,3,3,3
